Velocidade do Vento (m/s),Densidade de Probabilidade,Horário
5.971180538390261,0.08646671392435543,09:00
6.162837829097983,0.0898403616529238,09:00
6.354495119805705,0.0930692168347493,09:00
6.546152410513427,0.09613324386183204,09:00
6.737809701221149,0.09901294037993803,09:00
6.929466991928871,0.10168952531391223,09:00
7.121124282636593,0.10414512829570616,09:00
7.312781573344315,0.10636297797797731,09:00
7.5044388640520365,0.10832758657304123,09:00
7.696096154759759,0.110024927854378,09:00
7.887753445467481,0.11144260580119746,09:00
8.079410736175204,0.11257001106047705,09:00
8.271068026882926,0.11339846244923849,09:00
8.462725317590648,0.11392133082542015,09:00
8.65438260829837,0.11413414282008305,09:00
8.846039899006092,0.11403466214704289,09:00
9.037697189713814,0.11362294648703261,09:00
9.229354480421536,0.11290137827927929,09:00
9.421011771129258,0.11187466813941722,09:00
9.61266906183698,0.11054983005285363,09:00
9.804326352544702,0.1089361279594074,09:00
9.995983643252424,0.10704499383919198,09:00
10.187640933960147,0.1048899179210108,09:00
10.379298224667869,0.10248631215165194,09:00
10.570955515375589,0.0998513485753557,09:00
10.762612806083311,0.09700377476490821,09:00
10.954270096791033,0.09396370890674782,09:00
11.145927387498755,0.09075241755993643,09:00
11.337584678206477,0.08739207947132138,09:00
11.5292419689142,0.083905539126266,09:00
11.720899259621921,0.08031605393697354,09:00
11.912556550329644,0.07664703911148839,09:00
12.104213841037366,0.07292181430082421,09:00
12.295871131745088,0.06916335608653809,09:00
12.48752842245281,0.06539406024612049,09:00
12.679185713160532,0.061635517521013726,09:00
12.870843003868254,0.05790830631665565,09:00
13.062500294575976,0.054231805392858316,09:00
13.254157585283698,0.05062402916550299,09:00
13.44581487599142,0.04710148774837561,09:00
13.637472166699142,0.043679073330009796,09:00
13.829129457406864,0.0403699739189063,09:00
14.020786748114586,0.03718561491646277,09:00
14.212444038822309,0.03413562840564342,09:00
14.40410132953003,0.031227849489879052,09:00
14.595758620237751,0.028468338495202708,09:00
14.787415910945473,0.0258614273722815,09:00
14.979073201653195,0.023409788215259474,09:00
15.170730492360917,0.02111452146065061,09:00
15.36238778306864,0.018975261049124014,09:00
15.554045073776361,0.016990293630651212,09:00
15.745702364484083,0.015156688771338947,09:00
15.937359655191806,0.013470437077998474,09:00
16.129016945899526,0.011926593191301387,09:00
16.32067423660725,0.010519420705185618,09:00
16.512331527314974,0.009242536241947505,09:00
16.703988818022694,0.008089050140479167,09:00
16.895646108730414,0.0070517014894045955,09:00
17.087303399438138,0.006122985546594007,09:00
17.27896069014586,0.005295271920430995,09:00
17.470617980853582,0.004560912235001366,09:00
17.662275271561303,0.003912336350194275,09:00
17.853932562269026,0.003342136548432181,09:00
18.045589852976747,0.0028431394233209527,09:00
18.23724714368447,0.0024084655041765246,09:00
18.42890443439219,0.0020315769178685336,09:00
18.620561725099915,0.0017063136210267737,09:00
18.812219015807635,0.001426918928306838,09:00
19.00387630651536,0.0011880552146017653,09:00
19.19553359722308,0.0009848107807988679,09:00
0.4497831730902535,0.00346268499663644,15:00
0.6402412034302227,0.004819583844413416,15:00
0.8306992337701918,0.0063936338096553585,15:00
1.021157264110161,0.008181607583760627,15:00
1.2116152944501302,0.010179697200745519,15:00
1.4020733247900994,0.012383409049852372,15:00
1.5925313551300684,0.014787471231468959,15:00
1.7829893854700376,0.017385751181459425,15:00
1.9734474158100068,0.020171182798441125,15:00
2.1639054461499763,0.02313570302054404,15:00
2.3543634764899455,0.026270198208560098,15:00
2.5448215068299147,0.029564460935225585,15:00
2.735279537169883,0.03300715792074419,15:00
2.9257375675098523,0.03658580992578937,15:00
3.1161955978498215,0.04028678443277682,15:00
3.3066536281897907,0.04409530192385938,15:00
3.49711165852976,0.04799545650537739,15:00
3.687569688869729,0.051970251536745116,15:00
3.8780277192096984,0.05600165079925317,15:00
4.068485749549668,0.06007064558890718,15:00
4.258943779889637,0.06415733793908723,15:00
4.449401810229606,0.06824103997564171,15:00
4.639859840569575,0.07230038918158026,15:00
4.8303178709095445,0.0763134791038868,15:00
5.020775901249513,0.08025800477480259,15:00
5.211233931589482,0.08411142184850956,15:00
5.401691961929451,0.08785111817635394,15:00
5.5921499922694204,0.09145459626503777,15:00
5.78260802260939,0.09489966478851392,15:00
